metcode2,share_evac,kat_affected,num_obs,share_evac_sd,obs,distance,lr_w_wage_5,hourwage_5,unem_5,lr_w_wage_1,hourwage_1,unem_1,t_stat_bigger_1,treat,t_stat_bigger_2,treat_expanded,control
202,,,,,,8.758626,6.3207221,92.183197,.038740166,6.3127818,92.578384,.081260554,,,,,
203,,,,,,5.3970499,6.2867374,92.599144,.035323177,6.1965089,83.336479,.015063777,,,,,
204,,,,,,10.003894,6.3460383,93.258904,.031818673,6.2664657,95.598427,.079897799,,,,,
208,0,0,1265,0,1265,,6.4587336,93.664436,.037902404,6.4624515,93.767235,.05012894,,0,,0,1
212,0,0,336,0,336,12.308592,6.3526616,92.272026,.03695428,6.3231387,92.92366,.033293795,,0,,0,1
216,.0022946992,0,1167,.047868539,1167,13.625045,6.3897099,90.563614,.050976872,6.3496346,89.341194,.059809159,-1.9306378,0,.92396206,0,0
218,,,,,,4.6849747,,,,,,,,,,,
219,0,0,302,0,302,17.060675,6.2267647,89.988396,.024667758,6.4213862,89.109406,.025538923,,0,,0,1
220,,,,,,12.598508,,,,,,,,,,,
224,,,,,,17.601788,6.3792505,87.536545,.051202912,6.5445957,84.410515,.01864153,,,,,
229,,,,,,15.093393,6.2090077,87.706932,.046512458,6.2217317,86.044052,.029878264,,,,,
231,0,0,183,0,183,,5.9960389,92.930176,.049480278,6.0937133,89.123985,.039303266,,0,,0,1
232,,,,,,15.67605,,,,,,,,,,,
233,,,,,,15.188751,,,,,,,,,,,
234,,,,,,10.163767,,,,,,,,,,,
236,,,,,,15.633764,6.3410516,88.374916,.03438111,6.129303,83.987106,.027075885,,,,,
240,0,0,134,0,134,35.76767,6.1124716,92.675797,.058309343,6.039835,92.776161,.035473466,,0,,0,1
252,0,0,285,0,285,18.403601,6.2215967,88.128372,.022784647,6.163043,89.614799,.00587613,,0,,0,1
258,.021818843,0,158,.14655621,158,,6.2866921,91.762398,.023558108,6.3010554,94.495903,.029011844,1.4425153,1,1.7855865,1,0
262,,,,,,22.615128,,,,,,,,,,,
264,0,0,102,0,102,14.526364,6.3639927,90.094063,.035527628,6.0979457,91.418587,.040423617,,0,,0,1
265,,,,,,8.188879,6.1044312,90.055946,.024433047,6.2456508,93.783401,.013168865,,,,,
267,.020033643,0,144,.14060436,144,18.88097,6.2113504,93.397766,.043904983,6.2503018,92.806198,.029806281,1.2830591,0,1.6244426,1,0
270,0,0,112,0,112,8.7631054,6.1223154,89.723289,.024100114,6.2331686,91.075172,.023336604,,0,,0,1
271,,,,,,9.8696375,6.2416978,94.734497,.029111911,6.1919479,97.231903,.028913081,,,,,
272,0,0,115,0,115,7.0191226,6.2069931,88.161972,.021846555,6.1580029,90.877014,.026037231,,0,,0,1
276,,,,,,12.066885,6.2352357,87.283112,.032876298,6.2188158,94.007011,.021832909,,,,,
284,0,0,220,0,220,30.590357,6.0450006,93.803673,.11403049,6.0018697,94.737404,.086779222,,0,,0,1
288,,,,,,5.6968775,,,,,,,,,,,
297,,,,,,21.188341,,,,,,,,,,,
298,,,,,,16.171951,,,,,,,,,,,
299,,,,,,20.639709,,,,,,,,,,,
300,0,0,307,0,307,13.914324,6.2334223,91.608177,.046335422,6.2227836,90.602341,.023185516,,0,,0,1
304,,,,,,27.583004,,,,,,,,,,,
306,0,0,123,0,123,17.946829,6.2894077,93.494675,.023981886,6.3063312,86.835396,.035951309,,0,,0,1
308,0,0,128,0,128,,6.3012338,88.300362,.043393932,6.3035426,88.508537,.054930907,,0,,0,1
312,0,0,296,0,296,11.8097,6.2421827,90.277771,.042604093,6.1906095,86.766617,.047411632,,0,,0,1
315,,,,,,13.800179,6.094162,92.706314,.06953565,6.2868891,96.680496,.02160307,,,,,
316,0,0,339,0,339,9.2033005,6.2450809,91.080788,.036105972,6.1097803,86.251823,.025627552,,0,,0,1
324,0,0,128,0,128,16.806944,6.365181,90.594757,.036081128,6.3601689,88.959564,.065358534,,0,,0,1
328,0,0,725,0,725,21.016092,6.4606333,91.476044,.032287192,6.4647217,92.080811,.032146066,,0,,0,1
329,,,,,,10.345936,6.2767344,87.243774,.025875848,6.2134657,96.249481,.038942035,,,,,
332,0,0,1332,0,1332,,6.2874317,91.66008,.027843563,6.2964363,92.813042,.026490333,,0,,0,1
335,,,,,,.8316828,6.2984462,89.705276,.014804373,6.1798906,90.107697,0,,,,,
336,.021975067,0,1249,.14666077,1249,5.4530845,6.3549342,93.784294,.042497255,6.3033504,91.827225,.035335377,4.0905218,1,5.0544114,1,0
340,,,,,,11.363697,6.1777539,94.003632,.05434094,6.3203669,98.936531,.060321067,,,,,
344,0,0,109,0,109,5.8413386,6.3452797,90.357048,.040656988,6.4959345,91.094406,.027864581,,0,,0,1
348,0,0,452,0,452,10.529819,6.4794946,93.487663,.032859396,6.4527183,93.374329,.052374382,,0,,0,1
350,0,0,126,0,126,,6.5365057,99.989998,.08250884,6.5365057,99.989998,.08250884,,0,,0,1
352,,,,,,13.523896,6.3357363,90.723175,.057026397,6.2592468,91.093025,.04994664,,,,,
356,.0033532572,0,193,.057960495,193,,6.2770572,93.351822,.030011278,6.317091,92.180328,.032717153,-.39470473,0,.56404787,0,0
358,,,,,,5.8089275,,,,,,,,,,,
359,.0093685761,0,309,.096493207,309,,6.3565154,91.470528,.041170929,6.3357763,91.055847,.017567322,.79583383,0,1.5245233,1,0
360,,,,,,10.790135,6.1815133,92.944511,.051374588,6.1815133,92.944511,.051374588,,,,,
361,,,,,,16.242716,6.1827693,92.193359,.044962667,6.2159247,91.849297,0,,,,,
362,,,,,,12.796459,6.3676233,97.916328,.027301908,6.3676233,97.916328,.027301908,,,,,
366,,,,,,9.9878216,6.0103588,92.662247,.049721166,5.8734689,93.741173,.057734523,,,,,
368,,,,,,15.438686,6.1493673,92.471321,.030974675,6.0603943,90.115166,.062056389,,,,,
371,,,,,,8.3930359,5.998642,95.857414,.058622688,5.998642,95.857414,.058622688,,,,,
372,,,,,,13.160877,6.2892194,87.53199,.050795961,6.4426332,90.673279,.03813903,,,,,
374,,,,,,11.424702,6.2465396,90.634109,.042347737,6.2465396,90.634109,.042347737,,,,,
376,.0025568618,0,781,.050533097,781,10.089705,6.3705931,90.691513,.043511089,6.3314924,89.774162,.046712082,-1.3511316,0,.86099309,0,0
384,0,0,125,0,125,8.4530344,6.2509618,93.876534,.030736167,6.2442431,96.450043,.023275653,,0,,0,1
385,,,,,,11.251151,,,,,,,,,,,
387,,,,,,13.942069,6.2311907,89.505287,.074898802,6.2311907,89.505287,.074898802,,,,,
388,0,1,131,0,131,2.1159976,6.1377754,92.317596,.033746954,6.2330909,93.340225,.0058323769,,0,,0,0
398,,,,,,8.479352,6.0970345,90.596611,.01638745,6.0117416,91.651222,0,,,,,
400,0,0,118,0,118,17.043055,6.2691274,88.47673,.025001967,6.1769776,85.245369,.043326974,,0,,0,1
404,0,0,110,0,110,13.877787,6.3900056,92.996315,.036727995,6.3150511,93.633133,.034513518,,0,,0,1
408,,,,,,9.6257191,5.8290825,98.739304,.042577814,5.615036,99.989998,.07390549,,,,,
410,,,,,,17.061462,5.9110312,91.920891,.038604677,5.9258904,89.596542,.043916821,,,,,
412,,,,,,25.848906,6.2485838,91.194511,.045738142,,,,,,,,
413,.0065173693,0,1144,.080501914,1144,,6.2400794,88.995972,.035592664,6.2400794,88.995972,.035592664,.63752627,0,2.3181357,1,0
415,,,,,,10.450005,6.0130138,89.104179,0,6.0130138,89.104179,0,,,,,
420,,,,,,9.6624718,6.1540599,91.543953,.097486168,6.1540599,91.543953,.097486168,,,,,
424,,,,,,24.353968,,,,,,,,,,,
428,0,0,161,0,161,9.8705044,6.0961843,92.688721,.038097773,6.1845522,94.505051,.073666729,,0,,0,1
432,,,,,,12.337486,,,,,,,,,,,
440,0,0,259,0,259,5.4354157,6.2246661,89.945358,.027318243,6.1647768,90.202141,.023086362,,0,,0,1
442,,,,,,5.4698195,6.0745912,90.5411,.089137159,6.0745912,90.5411,.089137159,,,,,
448,.00069453532,0,3722,.026348425,3722,,6.2884068,94.291382,.040294729,6.2714348,91.865868,.037054814,-9.9690447,0,-.70728511,0,0
452,.0023145515,0,341,.048124693,341,,6.2973752,88.668533,.037652604,6.1927009,90.8013,.034662813,-1.030448,0,.50441366,0,0
460,,,,,,12.22776,6.0970592,93.26062,.074518837,6.0274363,92.379036,.040669437,,,,,
464,,,,,,13.067185,6.222487,87.576218,.10598636,6.222487,87.576218,.10598636,,,,,
468,,,,,,6.8430877,6.2515545,93.091743,.027830837,6.2500787,97.261948,.028151944,,,,,
472,0,0,209,0,209,,6.3365879,91.563332,.025844332,6.3076181,88.77356,.0081223147,,0,,0,1
480,,,,,,13.155598,,,,,,,,,,,
484,,,,,,25.634914,,,,,,,,,,,
488,0,0,191,0,191,8.9498749,6.0709491,94.773026,.019662606,6.0413728,93.082146,.030589681,,0,,0,1
489,,,,,,35.092686,6.0251465,91.867249,.076683171,6.1876493,90.319,.11827021,,,,,
490,.0067210863,0,145,.081989475,145,9.3554411,6.2929349,92.06723,.020133981,6.2429914,89.939034,.0097061954,.25277176,0,.84024203,0,0
492,.0081782136,0,324,.090202235,324,5.1046753,6.3168545,90.677071,.039593533,6.3078699,87.946342,.046400663,.63421762,0,1.4324239,1,0
494,,,,,,31.621115,6.1696763,94.10746,.059647147,6.2095447,87.972282,.082476988,,,,,
500,.0035284909,1,1404,.059317339,1404,,6.1776347,93.195541,.036156073,6.252008,91.453529,.030859955,-.92953306,0,1.5972147,0,0
508,0,0,529,0,529,13.389848,6.3595185,90.716293,.038998581,6.3576298,90.154526,.043200433,,0,,0,1
512,0,0,1430,0,1430,15.536522,6.4808331,91.003113,.030024355,6.4671688,89.657066,.031773366,,0,,0,1
514,,,,,,29.467369,,,,,,,,,,,
516,,,,,,1.9483628,6.2573304,87.689453,.035073336,6.4813843,89.836617,.0053217369,,,,,
517,0,0,163,0,163,31.979534,6.3083048,93.638435,.060481939,6.2108989,88.698387,.048462838,,0,,0,1
520,0,0,115,0,115,,5.9601159,87.927635,.054810341,5.7989545,90.315659,.012499107,,0,,0,1
524,,,,,,4.3123841,6.14749,90.093491,.036824305,6.0663886,95.134232,.044920728,,,,,
528,,,,,,11.2815,,,,,,,,,,,
533,,,,,,11.999501,6.0876298,90.523003,.07271181,6.2077146,92.346077,.18392174,,,,,
534,,,,,,9.3998184,6.2196202,90.218376,.017820559,6.3329101,91.31694,.018166728,,,,,
536,0,0,344,0,344,6.9740624,6.3343067,91.273445,.032447863,6.304934,91.56295,.036137521,,0,,0,1
548,0,0,419,0,419,20.312,6.4855566,92.74688,.037486572,6.5555592,92.71447,.037436355,,0,,0,1
552,0,0,150,0,150,21.274603,6.3118553,93.574333,.027547559,6.1681066,94.229691,.041836325,,0,,0,1
556,.53590262,1,186,.50005537,186,,6.2468438,92.696732,.025986867,6.242022,92.505684,.018414451,14.479489,0,14.588583,0,0
560,.0004616557,0,4612,.021483544,4612,,6.4213147,94.066681,.040129971,6.4479508,93.412445,.032029763,-14.346176,0,-1.7017621,0,0
572,.0035180987,0,428,.059278425,428,15.170125,6.3455482,93.31839,.013601797,6.3284159,92.298431,.017791515,-.5171833,0,.87881607,0,0
579,,,,,,7.9216909,6.181983,96.117432,.050914157,5.9708872,93.628525,0,,,,,
580,,,,,,12.493633,6.1703186,89.805405,.041392449,6.2899256,91.975502,.038613856,,,,,
588,0,0,489,0,489,9.3605499,6.2840023,93.50737,.02781108,6.3317189,93.137718,.02254821,,0,,0,1
591,,,,,,37.029343,6.4189835,91.571342,.0248938,6.3875628,83.203705,.013658321,,,,,
592,0,0,665,0,665,12.893743,6.3566747,91.535667,.028132079,6.2404709,89.551979,.034294378,,0,,0,1
596,0,0,564,0,564,8.7098198,6.2948847,91.984947,.030335568,6.2793708,89.26577,.029687067,,0,,0,1
601,,,,,,4.4884729,6.158669,92.222816,.011261999,5.9591446,95.440422,0,,,,,
602,,,,,,12.540481,,,,,,,,,,,
608,.023911042,1,104,.15351188,104,2.8993301,6.1124387,92.178078,.024824992,6.1966338,95.266373,.045187026,1.2562907,0,1.522017,0,0
612,,,,,,10.892922,6.3311305,88.664703,.022418261,6.1275282,80.088844,.026685381,,,,,
616,0,0,2141,0,2141,,6.4431529,91.99855,.035269625,6.4423208,91.725769,.027348939,,0,,0,1
620,0,0,1022,0,1022,22.364588,6.3603239,92.725311,.030698784,6.3633676,92.29438,.026172457,,0,,0,1
628,0,0,563,0,563,14.605528,6.3132191,91.318184,.045544349,6.3015265,90.219765,.030043751,,0,,0,1
632,,,,,,20.872646,,,,,,,,,,,
636,,,,,,26.106852,,,,,,,,,,,
640,0,0,506,0,506,23.878296,6.2903004,87.785385,.02376942,6.3252268,85.490379,.017725011,,0,,0,1
644,.0016585975,0,763,.040718786,763,,6.3359971,92.473007,.055309396,6.3445849,91.890617,.041618869,-2.2667115,0,.44677362,0,0
645,0,0,221,0,221,,6.4343853,89.8489,.035391774,6.3660913,87.256981,.042454652,,0,,0,1
646,0,0,178,0,178,,6.5013251,91.009125,.032778975,6.5013251,91.009125,.032778975,,0,,0,1
648,0,0,1738,0,1738,21.990612,6.2949448,91.562439,.048229873,6.3099666,92.221558,.057489503,,0,,0,1
