InputID,TargetID,Distance,fipscounty,msa,msaname,cbsaname
35940,310M300US35380,13.4308981353,,,,
36940,310M300US35380,14.493273268,,,,
20300,310M300US35380,13.3374690785,,,,
30260,310M300US35380,16.9803115935,,,,
26740,310M300US35380,11.4456290168,,,,
18740,310M300US35380,13.1359249387,,,,
10860,310M300US35380,8.42732708002,,,,
16380,310M300US35380,11.8911757441,,,,
30620,310M300US35380,12.3374860561,39003,4320,"LIMA, OH","Lima, OH"
47260,310M300US35380,15.17012494,51830,5720,"NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC","Virginia Beach-Norfolk-Newport News, VA"
39260,310M300US35380,33.5761921909,,,,
16340,310M300US35380,6.28013451185,,,,
41700,310M300US35380,8.66746688202,48493,7240,"SAN ANTONIO, TX","San Antonio, TX"
45500,310M300US35380,5.56239641631,48037,8360,"TEXARKANA, TX-TEXARKANA, AR","Texarkana, TX-Texarkana, AR"
36740,310M300US35380,8.70982025687,12117,5960,"ORLANDO, FL","Orlando, FL"
31180,310M300US35380,12.2277606812,48303,4600,"LUBBOCK, TX","Lubbock, TX"
26900,310M300US35380,10.5298193955,18145,3480,"INDIANAPOLIS, IN","Indianapolis, IN"
25620,310M300US35380,1.47028449558,28111,25,MISSISSIPPI,"Hattiesburg, MS"
47900,310M300US35380,15.3397955951,,,,
47920,310M300US35380,11.6348351054,,,,
14460,310M300US35380,22.7004303447,,,,
28500,310M300US35380,9.40280540638,,,,
49080,310M300US35380,30.422445911,,,,
29200,310M300US35380,11.0304879118,,,,
47340,310M300US35380,11.7027980459,,,,
38500,310M300US35380,12.000179388,,,,
30860,310M300US35380,24.8958225501,49005,46,UTAH,"Logan, UT-ID"
35860,310M300US35380,10.0665221143,,,,
30660,310M300US35380,10.2361837195,,,,
32700,310M300US35380,11.4593936619,,,,
21740,310M300US35380,23.5352976079,,,,
16140,310M300US35380,13.0882805375,,,,
36860,310M300US35380,11.4784375615,,,,
29620,310M300US35380,13.8777864863,26065,4040,"LANSING-EAST LANSING, MI","Lansing-East Lansing, MI"
30900,310M300US35380,11.4386411564,,,,
10540,310M300US35380,35.7009319913,,,,
30700,310M300US35380,12.9254417842,31159,28,NEBRASKA,"Lincoln, NE"
43620,310M300US35380,15.3105586327,46125,43,SOUTH DAKOTA,"Sioux Falls, SD"
22300,310M300US35380,12.7514570601,,,,
29340,310M300US35380,3.3142252899,22023,19,LOUISIANA,"Lake Charles, LA"
22900,310M300US35380,7.01912270553,40135,2720,"FORT SMITH, AR-OK","Fort Smith, AR-OK"
11100,310M300US35380,13.1020208971,48381,320,"AMARILLO, TX","Amarillo, TX"
12660,310M300US35380,13.5217193217,,,,
20500,310M300US35380,12.438620369,37145,34,NORTH CAROLINA,"Durham, NC"
17460,310M300US35380,14.1375362415,39103,1680,"CLEVELAND-LORAIN-ELYRIA, OH","Cleveland-Elyria-Mentor, OH"
13980,310M300US35380,11.8621486422,51750,49,VIRGINIA,"Blacksburg-Christiansburg-Radford, VA"
16860,310M300US35380,6.89568771694,47153,44,TENNESSEE,"Chattanooga, TN-GA"
38920,310M300US35380,6.80285457935,,,,
48660,310M300US35380,9.37934421555,48485,9080,"WICHITA FALLS, TX","Wichita Falls, TX"
37420,310M300US35380,12.1761020124,,,,
10940,310M300US35380,14.4149210752,,,,
24420,310M300US35380,35.84336013,,,,
32020,310M300US35380,12.6568093163,,,,
48300,310M300US35380,35.2147421121,53017,50,WASHINGTON,"Wenatchee, WA"
41660,310M300US35380,10.8235987827,48451,7200,"SAN ANGELO, TX","San Angelo, TX"
12980,310M300US35380,13.2945182042,26025,3720,"KALAMAZOO-BATTLE CREEK, MI","Battle Creek, MI"
13660,310M300US35380,14.4930403481,,,,
13740,310M300US35380,24.5833772134,30111,880,"BILLINGS, MT","Billings, MT"
48020,310M300US35380,13.1680119364,,,,
23340,310M300US35380,13.4624467497,,,,
29660,310M300US35380,19.6706586414,,,,
28340,310M300US35380,12.3541822814,,,,
35700,310M300US35380,20.961692626,,,,
27420,310M300US35380,19.3064358955,,,,
15060,310M300US35380,36.4389396193,,,,
34540,310M300US35380,12.9132456882,,,,
18220,310M300US35380,10.8405518473,,,,
16740,310M300US35380,10.5061982417,45091,1520,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC","Charlotte-Gastonia-Concord, NC-SC"
29100,310M300US35380,13.9420689183,55063,3870,"LA CROSSE, WI-MN","La Crosse, WI-MN"
16500,310M300US35380,36.4773656621,,,,
14260,310M300US35380,29.2933850037,16073,13,IDAHO,"Boise City-Nampa, ID"
28660,310M300US35380,7.94750307947,48281,45,TEXAS,"Killeen-Temple-Fort Hood, TX"
11660,310M300US35380,5.25521989774,,,,
32580,310M300US35380,8.94987476121,48215,4880,"MCALLEN-EDINBURG-MISSION, TX","McAllen-Edinburg-Pharr, TX"
31740,310M300US35380,11.4947561697,,,,
21780,310M300US35380,8.40692918816,21233,18,KENTUCKY,"Evansville, IN-KY"
43300,310M300US35380,7.69073597436,48181,7640,"SHERMAN-DENISON, TX","Sherman-Denison, TX"
36540,310M300US35380,12.8937425797,31177,5920,"OMAHA, NE-IA","Omaha-Council Bluffs, NE-IA"
36420,310M300US35380,9.36055009049,40109,5880,"OKLAHOMA CITY, OK","Oklahoma City, OK"
21980,310M300US35380,29.9924339843,,,,
32100,310M300US35380,16.686749138,,,,
43580,310M300US35380,14.2095069488,46127,43,SOUTH DAKOTA,"Sioux City, IA-NE-SD"
17140,310M300US35380,10.7007932915,39165,1640,"CINCINNATI, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN"
23060,310M300US35380,12.0668848952,18183,2760,"FORT WAYNE, IN","Fort Wayne, IN"
15660,310M300US35380,6.84643205544,,,,
42700,310M300US35380,8.98032685679,,,,
38060,310M300US35380,22.3645872233,4021,6200,"PHOENIX-MESA, AZ","Phoenix-Mesa-Scottsdale, AZ"
45780,310M300US35380,13.1317905465,39173,8400,"TOLEDO, OH","Toledo, OH"
26140,310M300US35380,7.54393885091,,,,
27540,310M300US35380,8.96130380553,,,,
42300,310M300US35380,17.2571845939,,,,
44780,310M300US35380,12.7970213344,,,,
27580,310M300US35380,26.1233186226,,,,
43940,310M300US35380,20.0145094983,,,,
26860,310M300US35380,15.279268292,,,,
32780,310M300US35380,35.0926862477,41029,4890,"MEDFORD-ASHLAND, OR","Medford, OR"
47080,310M300US35380,7.86080508214,,,,
31260,310M300US35380,4.8546456603,,,,
16820,310M300US35380,13.8734036356,51540,1540,"CHARLOTTESVILLE, VA","Charlottesville, VA"
16620,310M300US35380,11.8957844873,54079,1480,"CHARLESTON, WV","Charleston, WV"
19340,310M300US35380,11.5037256347,19163,1960,"DAVENPORT-ROCK ISLAND-MOLINE, IA-IL","Davenport-Moline-Rock Island, IA-IL"
42780,310M300US35380,16.8490992419,,,,
24220,310M300US35380,19.2115982952,38035,2985,"GRAND FORKS, ND-MN","Grand Forks, ND-MN"
17200,310M300US35380,22.560803167,,,,
37100,310M300US35380,29.4901779803,6111,8735,"VENTURA, CA","Oxnard-Thousand Oaks-Ventura, CA"
25220,310M300US35380,0.854883918794,,,,
15260,310M300US35380,8.43100222146,13191,11,GEORGIA,"Brunswick, GA"
13140,310M300US35380,4.14227031197,48361,840,"BEAUMONT-PORT ARTHUR, TX","Beaumont-Port Arthur, TX"
10980,310M300US35380,16.3973755162,,,,
32220,310M300US35380,5.15305231838,,,,
18020,310M300US35380,10.1444057018,18005,15,INDIANA,"Columbus, IN"
31420,310M300US35380,6.89679328525,13289,4680,"MACON, GA","Macon, GA"
14780,310M300US35380,6.46301885598,,,,
22180,310M300US35380,12.1092367614,37093,34,NORTH CAROLINA,"Fayetteville, NC"
36260,310M300US35380,25.6092371543,49057,7160,"SALT LAKE CITY-OGDEN, UT","Ogden-Clearfield, UT"
